58,14154
58,13106
58,14006
58,13584
58,14129
58,13730
58,13353
58,14727
58,13232
58,13044
58,13793
58,13610
58,14481
58,13720
58,12906
58,12945
58,12291
58,12278
58,12072
58,13942
58,13572
58,11985
58,18102
58,14290
58,12683
58,14406
58,14280
58,12682
58,12937
58,13602
58,13259
58,13862
58,18435
58,14295
58,15220
58,14189
58,15445
58,13571
58,12851
58,13708
58,12856
58,12480
58,12795
58,24853
58,13428
58,14276
58,13697
58,13431
58,10511
58,13893
58,13436
58,14122
58,14033
58,13472
58,13721
58,13712
58,11605
58,14296
58,14738
58,15115
58,13117
58,14236
58,12879
58,19515
58,13169
58,14231
58,12734
58,13103
58,20505
58,14659
58,17528
58,18938
58,13342
58,18530
58,13778
58,13716
58,12113
58,13375
58,12173
58,12710
58,12653
58,15332
58,13522
58,12456
58,13584
58,13389
58,17338
58,12317
58,13597
58,12918
58,13533
58,14673
58,14017
58,14515
58,12401
58,18270
58,12729
58,12177
58,13226
58,14291
59,12321
59,12853
59,12274
59,14320
59,12130
59,13673
59,12302
59,14093
59,14439
59,14315
59,12778
59,12688
59,12982
59,12936
59,12890
59,11974
59,11656
59,12934
59,12044
59,12936
59,13508
59,14067
59,13442
59,13843
59,12243
59,12951
59,14290
59,12912
59,13008
59,12426
59,13336
59,13484
59,14293
59,13082
59,13783
59,13310
59,13509
59,12953
59,13265
59,14050
59,13171
59,12444
59,13533
59,16246
59,13198
59,12927
59,14129
59,14190
59,13467
59,14163
59,13802
59,12225
59,12699
59,12589
59,13913
59,12683
59,13241
59,18258
59,11937
59,13338
59,13522
59,12646
59,12854
59,13705
59,13102
59,15941
59,13777
59,14069
59,13390
59,18102
59,11531
59,13485
59,14266
59,13364
59,13082
59,12372
59,16782
59,12522
59,13410
59,13161
59,16282
59,12770
59,11873
59,16928
59,16259
59,15821
59,16525
59,17720
59,14044
59,12954
59,13701
59,12306
59,12064
59,11080
59,14063
59,13668
59,13720
59,13327
59,16226
59,15621
60,15700
60,14854
60,14369
60,14274
60,12882
60,13189
60,14225
60,12786
60,12888
60,16367
60,13868
60,12461
60,13104
60,12210
60,13856
60,12683
60,13085
60,8920
60,13641
60,14076
60,12636
60,13619
60,12990
60,17130
60,12124
60,13304
60,12005
60,13442
60,18084
60,10549
60,15020
60,16241
60,13359
60,13241
60,12702
60,12526
60,13804
60,12591
60,15714
60,16161
60,13560
60,15952
60,10757
60,12224
60,12814
60,12412
60,13557
60,13044
60,12613
60,12639
60,12346
60,14285
60,16180
60,15802
60,11337
60,11458
60,15566
60,13834
60,13791
60,13445
60,14479
60,12838
60,15531
60,12198
60,12937
60,13091
60,13621
60,13893
60,12814
60,12593
60,13769
60,14636
60,13055
60,12752
60,12420
60,12743
60,12962
60,12145
60,15110
60,12003
60,13696
60,13240
60,13731
